timestamp,symbol,price,delta,delta_pct,sigma,seconds_left,prob_up,bid,ask
1763128684,btc/usd,95090.474,-230.461,-0.0024,0.000174,116,0.098,0.98,0.99
1763128686,btc/usd,95100.595,-220.339,-0.0023,0.000173,114,0.106,0.98,0.99
1763128687,btc/usd,95085.774,-235.16,-0.0025,0.000172,113,0.088,0.98,0.99
1763128688,btc/usd,95092.188,-228.747,-0.0024,0.000171,112,0.092,0.98,0.99
1763128690,btc/usd,95084.827,-236.107,-0.0025,0.00017,110,0.083,0.98,0.99
1763128691,btc/usd,95097.697,-223.237,-0.0023,0.00017,109,0.093,0.98,0.99
1763128693,btc/usd,95087.677,-233.258,-0.0024,0.000169,107,0.081,0.98,0.99
1763128694,btc/usd,95087.672,-233.262,-0.0024,0.000168,106,0.079,0.98,0.99
1763128695,btc/usd,95077.278,-243.656,-0.0026,0.000167,105,0.067,0.98,0.99
1763128697,btc/usd,95072.175,-248.759,-0.0026,0.000166,103,0.061,0.98,0.99
1763128698,btc/usd,95068.613,-252.321,-0.0026,0.000164,102,0.055,0.94,0.99
1763128699,btc/usd,95079.393,-241.542,-0.0025,0.000164,101,0.061,0.97,0.99
1763128701,btc/usd,95079.393,-241.542,-0.0025,0.000163,99,0.059,0.97,0.99
1763128702,btc/usd,95080.534,-240.401,-0.0025,0.000162,98,0.057,0.97,0.99
1763128704,btc/usd,95063.329,-257.606,-0.0027,0.000162,96,0.044,0.97,0.99
1763128705,btc/usd,95071.706,-249.228,-0.0026,0.000161,95,0.047,0.97,0.99
1763128706,btc/usd,95057.698,-263.236,-0.0028,0.00016,94,0.037,0.98,0.99
1763128708,btc/usd,95059.073,-261.861,-0.0027,0.00016,92,0.036,0.98,0.99
1763128709,btc/usd,95064.294,-256.641,-0.0027,0.000159,91,0.038,0.98,0.99
1763128711,btc/usd,95072.877,-248.058,-0.0026,0.000158,89,0.041,0.98,0.99
1763128712,btc/usd,95088.619,-232.315,-0.0024,0.000158,88,0.05,0.98,0.99
1763128713,btc/usd,95092.138,-228.797,-0.0024,0.000157,87,0.05,0.98,0.99
1763128715,btc/usd,95082.751,-238.184,-0.0025,0.000157,85,0.042,0.98,0.99
1763128716,btc/usd,95082.751,-238.184,-0.0025,0.000156,84,0.04,0.98,0.99
1763128717,btc/usd,95078.07,-242.865,-0.0025,0.000155,83,0.035,0.99,
1763128719,btc/usd,95093.78,-227.154,-0.0024,0.000155,81,0.044,0.99,
1763128720,btc/usd,95093.78,-227.154,-0.0024,0.000154,80,0.042,0.99,
1763128721,btc/usd,95100.722,-220.212,-0.0023,0.000153,79,0.045,0.99,
1763128723,btc/usd,95098.41,-222.525,-0.0023,0.000153,77,0.041,0.99,
1763128724,btc/usd,95101.695,-219.239,-0.0023,0.000152,76,0.041,0.99,
1763128726,btc/usd,95115.76,-205.174,-0.0022,0.000152,74,0.05,0.99,
1763128727,btc/usd,95116.338,-204.596,-0.0021,0.000151,73,0.048,0.99,
1763128728,btc/usd,95110.88,-210.054,-0.0022,0.00015,72,0.041,0.99,
1763128730,btc/usd,95118.393,-202.541,-0.0021,0.00015,70,0.045,0.99,
1763128731,btc/usd,95123.23,-197.705,-0.0021,0.000149,69,0.046,0.99,
1763128733,btc/usd,95123.32,-197.614,-0.0021,0.000148,67,0.044,0.99,
1763128734,btc/usd,95123.51,-197.425,-0.0021,0.000148,66,0.042,0.99,
1763128735,btc/usd,95140.99,-179.944,-0.0019,0.000148,65,0.056,0.99,
1763128737,btc/usd,95150.147,-170.787,-0.0018,0.000147,63,0.063,0.99,
1763128738,btc/usd,95141.482,-179.453,-0.0019,0.000147,62,0.051,0.99,
1763128740,btc/usd,95121.527,-199.407,-0.0021,0.000147,60,0.034,0.99,
1763128741,btc/usd,95123.574,-197.361,-0.0021,0.000147,59,0.033,0.99,
1763128742,btc/usd,95123.574,-197.361,-0.0021,0.000147,58,0.031,0.99,
1763128744,btc/usd,95142.106,-178.828,-0.0019,0.000147,56,0.045,0.99,
1763128745,btc/usd,95139.476,-181.458,-0.0019,0.000147,55,0.04,0.99,
1763128746,btc/usd,95127.994,-192.941,-0.002,0.000146,54,0.029,0.99,
1763128748,btc/usd,95134.459,-186.475,-0.002,0.000145,52,0.031,0.99,
1763128749,btc/usd,95163.845,-157.09,-0.0016,0.000147,51,0.058,0.99,
1763128751,btc/usd,95159.734,-161.201,-0.0017,0.000146,49,0.05,0.99,
1763128752,btc/usd,95180.121,-140.814,-0.0015,0.000147,48,0.073,0.99,
1763128754,btc/usd,95186.43,-134.505,-0.0014,0.000146,46,0.078,0.99,
1763128755,btc/usd,95190.174,-130.761,-0.0014,0.000146,45,0.08,0.99,
